Start,Finish,Active Calories (kcal),Distance (mi),Flights Climbed (count),Heart Rate (count/min),Respiratory Rate (count/min),Steps (count)
21-Jan-2016 11:00,21-Jan-2016 12:00,0.0,0.41617578342472,3.0,0.0,0.0,896.0
21-Jan-2016 12:00,21-Jan-2016 13:00,0.0,0.664307941620955,1.0,0.0,0.0,1646.0
21-Jan-2016 13:00,21-Jan-2016 14:00,0.0,0.27941819772528,0.0,0.0,0.0,655.0
21-Jan-2016 14:00,21-Jan-2016 15:00,0.0,0.376128410085067,7.0,0.0,0.0,829.0
21-Jan-2016 15:00,21-Jan-2016 16:00,0.0,0.222556519923618,0.0,0.0,0.0,518.0
21-Jan-2016 16:00,21-Jan-2016 17:00,0.0,0.629774668392966,0.0,0.0,0.0,1396.82822746895
21-Jan-2016 17:00,21-Jan-2016 18:00,0.0,0.192796515890872,0.0,0.0,0.0,426.171772531047
21-Jan-2016 18:00,21-Jan-2016 19:00,0.0,1.21841833623409,0.0,0.0,0.0,2687.14597441867
21-Jan-2016 19:00,21-Jan-2016 20:00,0.0,0.351637537463551,1.0,0.0,0.0,815.854025581335
21-Jan-2016 20:00,21-Jan-2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 21:00,21-Jan-2016 22:00,0.0,0.388145728942939,2.0,0.0,0.0,876.0
21-Jan-2016 22:00,21-Jan-2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0
21-Jan-2016 23:00,22-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 00:00,22-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 01:00,22-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 02:00,22-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 03:00,22-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 04:00,22-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 05:00,22-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 06:00,22-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 07:00,22-Jan-2016 08:00,0.0,0.700233870492682,0.0,0.0,0.0,1472.2421905043
22-Jan-2016 08:00,22-Jan-2016 09:00,0.0,0.360049077093484,1.0,0.0,0.0,760.7578094957
22-Jan-2016 09:00,22-Jan-2016 10:00,0.0,1.03068219467296,1.0,0.0,0.0,2146.05505117883
22-Jan-2016 10:00,22-Jan-2016 11:00,0.0,0.0314151567944607,1.0,0.0,0.0,65.9449488211685
22-Jan-2016 11:00,22-Jan-2016 12:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 12:00,22-Jan-2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 13:00,22-Jan-2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 14:00,22-Jan-2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 15:00,22-Jan-2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 16:00,22-Jan-2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 17:00,22-Jan-2016 18:00,0.0,0.436277141493665,2.0,0.0,0.0,1004.0
22-Jan-2016 18:00,22-Jan-2016 19:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 19:00,22-Jan-2016 20:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 20:00,22-Jan-2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 21:00,22-Jan-2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0
22-Jan-2016 22:00,22-Jan-2016 23:00,0.0,0.00468513878946552,0.0,0.0,0.0,10.0
22-Jan-2016 23:00,23-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 00:00,23-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 01:00,23-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 02:00,23-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 03:00,23-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 04:00,23-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 05:00,23-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 06:00,23-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 07:00,23-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 08:00,23-Jan-2016 09:00,0.0,0.499743995068759,0.0,0.0,0.0,1058.0
23-Jan-2016 09:00,23-Jan-2016 10:00,0.0,0.438799908534161,2.0,0.0,0.0,941.0
23-Jan-2016 10:00,23-Jan-2016 11:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 11:00,23-Jan-2016 12:00,0.0,0.6682507747955,0.0,0.0,0.0,1416.0236077127
23-Jan-2016 12:00,23-Jan-2016 13:00,0.0,0.0499549040401294,1.0,0.0,0.0,107.976392287302
23-Jan-2016 13:00,23-Jan-2016 14:00,0.0,0.65862860892387,2.0,0.0,0.0,1429.0
23-Jan-2016 14:00,23-Jan-2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 15:00,23-Jan-2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 16:00,23-Jan-2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 17:00,23-Jan-2016 18:00,0.0,0.204726305581921,0.0,0.0,0.0,446.27263549409
23-Jan-2016 18:00,23-Jan-2016 19:00,0.0,0.113192051214284,0.0,0.0,0.0,248.72736450591
23-Jan-2016 19:00,23-Jan-2016 20:00,0.0,0.324312266364314,0.0,0.0,0.0,701.0
23-Jan-2016 20:00,23-Jan-2016 21:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 21:00,23-Jan-2016 22:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 22:00,23-Jan-2016 23:00,0.0,0.0,0.0,0.0,0.0,0.0
23-Jan-2016 23:00,24-Jan-2016 00:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 00:00,24-Jan-2016 01:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 01:00,24-Jan-2016 02:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 02:00,24-Jan-2016 03:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 03:00,24-Jan-2016 04:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 04:00,24-Jan-2016 05:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 05:00,24-Jan-2016 06:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 06:00,24-Jan-2016 07:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 07:00,24-Jan-2016 08:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 08:00,24-Jan-2016 09:00,0.0,0.386284742178038,0.0,0.0,0.0,802.523342617406
24-Jan-2016 09:00,24-Jan-2016 10:00,0.0,0.124072272854195,0.0,0.0,0.0,275.476657382594
24-Jan-2016 10:00,24-Jan-2016 11:00,0.0,0.424800415573041,0.0,0.0,0.0,957.0
24-Jan-2016 11:00,24-Jan-2016 12:00,0.0,0.475814990455788,0.0,0.0,0.0,960.0
24-Jan-2016 12:00,24-Jan-2016 13:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 13:00,24-Jan-2016 14:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 14:00,24-Jan-2016 15:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 15:00,24-Jan-2016 16:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 16:00,24-Jan-2016 17:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 17:00,24-Jan-2016 18:00,0.0,0.0,0.0,0.0,0.0,0.0
24-Jan-2016 18:00,24-Jan-2016 19:00,0.0,1.46425500079545,0.0,0.0,0.0,2945.0
